,brands,product_name,categories,countries,food_groups_tags,food_groups,ingredients_text,category_name,country,processed_ingredients
1,"Mutti,POLPA",pulpe de tomates,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frucht- und gemüsebasierte Lebensmittel,Konserven,Gemüsebasierte Lebensmittel,Konserven-Produkte auf pflanzlicher Basis,Gemüse,Gemüsekonserven,Tomaten und Tomatenprodukte,Tomaten,Dosentomaten,en:Tomato pulps","Australien,Österreich,Belgien,Kanada,Frankreich,Deutschland,Italien,Niederlande,Neuseeland,Norwegen,Polen,Spanien,Schweiz,Vereinigtes Königreich,Vereinigte Staaten von Amerika","['en:fruits-and-vegetables', 'en:vegetables']",en:vegetables,"tomatoes 99.8%, salt",Plant-based foods and beverages,canada,"['tomatoes 99.8%', 'salt']"
2,"Maïzena, Unilever",Maizena Fleur de Maïs Sans Gluten 400g,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Starches, Cereal starches, Corn starch, en:cooking-helpers","Belgique, Canada, France, Martinique, La Réunion, Suisse, Germany","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,Amidon de maïs.,Plant-based foods and beverages,canada,['amidon de maïs.']
3,Barilla,Lasagne all'uovo,"Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Cereali e i loro prodotti, Pasta, Paste alimentari di cereali, Pasta secca, Pasta di grano duro, Paste all'uovo, Pasta al'uovo secca, en:Lasagna sheets, fr:Lasagnes à garnir aux œufs","Belgium,Canada,Croatia,France,Germany,Greece,Hungary,Italy,Luxembourg,Montenegro,Romania,Serbia,Slovenia,Spain,Switzerland,United Kingdom,Uruguay","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,"Semola di grano duro, uova fresche di categoria A (19.36%).",Plant-based foods and beverages,canada,"['semola di grano duro', 'uova fresche di categoria a (19.36%).']"
4,Tipiak,Fine chapelure de pain,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Chapelure","Canada,France","['en:cereals-and-potatoes', 'en:bread']",en:bread,"Farine de blé (gluten), sel, levure, Traces possibles d'oeuf",Plant-based foods and beverages,canada,"['farine de blé (gluten)', 'sel', 'levure', ""traces possibles d'oeuf""]"
5,"Zespri,Sungold,Catania,ALDI Zespri",Kiwi Sungold,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Fruits et produits dérivés,Fruits,Fruits frais,en:kiwifruits,Kiwis frais,nl:Yellow kiwis","Belgique,Canada,France,Allemagne,Pologne,Espagne,Suisse","['en:fruits-and-vegetables', 'en:fruits']",en:fruits,Kiwifruit,Plant-based foods and beverages,canada,['kiwifruit']
6,Kraft,Creamy Peanut Butter,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Fats, Spreads, Nuts and their products, Plant-based spreads, Oilseed purees, Legume butters, Nut butters, Peanut butters","Canada,France","['en:fats-and-sauces', 'en:fats']",en:fats,"_Select roasted peanuts_, Soybean oil, Sugars (corn maltodextrin, sugar), Hydrogenated vegetable oil (cottonseed and rapeseed oil), Salt, Mono - and diglycerides",Plant-based foods and beverages,canada,"['_select roasted peanuts_', 'soybean oil', 'sugars (corn maltodextrin', 'sugar)', 'hydrogenated vegetable oil (cottonseed and rapeseed oil)', 'salt', 'mono - and diglycerides']"
7,Quaker,So Simple Apple And Blueberry imp,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Cereals with fruits, Extruded cereals, Porridge, Cereal flakes with fruits",Canada,"['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"Quaker Wholegrain Rolled Oats (77%), Sugar, Dried Apple Pieces (1%), Dried Blueberries (1%), Natural Flavouring, Salt, Sunflower Oil.",Plant-based foods and beverages,canada,"['quaker wholegrain rolled oats (77%)', 'sugar', 'dried apple pieces (1%)', 'dried blueberries (1%)', 'natural flavouring', 'salt', 'sunflower oil.']"
8,Kraft,Smooth Peanut Butter,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Nuts and their products, Plant-based spreads, Oilseed purees, Legume butters, Nut butters, Peanut butters","Canada,France","['en:cereals-and-potatoes', 'en:legumes']",en:legumes,"Select roasted peanuts, Soybean oil, Corn maltodextrin, Sugar, Hydrogenated vegetable oil (cotton seed and rapeseed oil), Salt, Mono - and diglycerides (1004L)",Plant-based foods and beverages,canada,"['select roasted peanuts', 'soybean oil', 'corn maltodextrin', 'sugar', 'hydrogenated vegetable oil (cotton seed and rapeseed oil)', 'salt', 'mono - and diglycerides (1004l)']"
9,La Molisana,Penne rigate nº 20,"Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Cereali e i loro prodotti, Pasta, Paste alimentari di cereali, Pasta di grano duro, Pasta di grano duro integrale, en:Whole or semi-whole durum wheat pasta, Penne, Penne Rigate","Canada,Italy","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,pasta di semola di grano duro,Plant-based foods and beverages,canada,['pasta di semola di grano duro']
10,Vita Coco,Coconut Water,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based beverages,Coconut waters","Canada,France,United Kingdom,United States, World","['en:beverages', 'en:sweetened-beverages']",en:sweetened-beverages,"Coconut Water (99%), Fructose (&lt;1%), Vitamin C.",Plant-based foods and beverages,canada,"['coconut water (99%)', 'fructose (&lt;1%)', 'vitamin c.']"
11,Terra Delyssa,Huile d'olive vierge extra (Biologique),"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Matières grasses végétales, Produits de l'olivier, Huiles, Huiles d'olive, Huiles d'olive vierges extra, Huiles d'olive de Tunisie, Huiles d'olive vierges","Canada,France","['en:fats-and-sauces', 'en:fats']",en:fats,Huile d'olive vierge Extra Biologique première pression à froid,Plant-based foods and beverages,canada,"[""huile d'olive vierge extra biologique première pression à froid""]"
